step,value
0,16
1,96
2,576
3,3456
4,20736
5,124416
6,746496
7,4478976
8,26873856
9,161243136
10,967458816
11,5804752896
12,34828517376
13,208971104256
14,1253826625536
15,7522959753216
16,45137758519296
17,270826551115776
18,1624959306694656
19,9749755840167936
20,58498535041007620
21,350991210246045700
22,2105947261476274200
23,12635683568857645000
24,75814101413145870000
25,454884608478875200000
26,2729307650873251300000
27,16375845905239508000000
28,98255075431437050000000
29,589530452588622300000000
30,3537182715531733700000000
31,21223096293190402000000000
32,127338577759142410000000000
33,764031466554854500000000000
34,4584188799329126600000000000
35,27505132795974760000000000000
36,165030796775848550000000000000
37,990184780655091300000000000000
38,5941108683930548000000000000000
39,35646652103583290000000000000000
40,213879912621499740000000000000000
41,1283279475728998500000000000000000
42,7699676854373991000000000000000000
43,46198061126243950000000000000000000
44,277188366757463700000000000000000000
45,1663130200544782300000000000000000000
46,9978781203268694000000000000000000000
47,59872687219612160000000000000000000000
48,359236123317672900000000000000000000000
49,2155416739906037500000000000000000000000
50,12932500439436225000000000000000000000000
51,77595002636617350000000000000000000000000
52,465570015819704100000000000000000000000000
53,2793420094918224600000000000000000000000000
54,16760520569509346000000000000000000000000000
55,100563123417056080000000000000000000000000000
56,603378740502336500000000000000000000000000000
57,3620272443014019000000000000000000000000000000
58,21721634658084115000000000000000000000000000000
59,130329807948504700000000000000000000000000000000
60,781978847691028100000000000000000000000000000000
61,4691873086146169000000000000000000000000000000000
62,28151238516877014000000000000000000000000000000000
63,168907431101262090000000000000000000000000000000000
64,1013444586607572600000000000000000000000000000000000
65,6080667519645436000000000000000000000000000000000000
66,36484005117872620000000000000000000000000000000000000
67,218904030707235700000000000000000000000000000000000000
68,1313424184243414100000000000000000000000000000000000000
69,7880545105460484000000000000000000000000000000000000000
70,47283270632762906000000000000000000000000000000000000000
71,283699623796577440000000000000000000000000000000000000000
72,1702197742779464600000000000000000000000000000000000000000
73,10213186456676788000000000000000000000000000000000000000000
74,61279118740060730000000000000000000000000000000000000000000
75,367674712440364370000000000000000000000000000000000000000000
76,2206048274642186300000000000000000000000000000000000000000000
77,13236289647853118000000000000000000000000000000000000000000000
78,79417737887118710000000000000000000000000000000000000000000000
79,476506427322712200000000000000000000000000000000000000000000000
80,2859038563936273400000000000000000000000000000000000000000000000
81,17154231383617642000000000000000000000000000000000000000000000000
82,102925388301705850000000000000000000000000000000000000000000000000
83,617552329810235100000000000000000000000000000000000000000000000000
84,3705313978861410600000000000000000000000000000000000000000000000000
85,22231883873168462000000000000000000000000000000000000000000000000000
86,133391303239010780000000000000000000000000000000000000000000000000000
87,800347819434064700000000000000000000000000000000000000000000000000000
88,4802086916604388000000000000000000000000000000000000000000000000000000
89,28812521499626324000000000000000000000000000000000000000000000000000000
90,172875128997757940000000000000000000000000000000000000000000000000000000
